#ies_format_version: 1.0
#file: 20260130_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20260130;	163002;	1769770802.000;	    err32
20260130;	163007;	1769770807.000;	    err32
20260130;	163012;	1769770812.000;	    err32
20260130;	163017;	1769770817.000;	    err32
20260130;	163022;	1769770822.000;	    err32
20260130;	163027;	1769770827.000;	    err32
20260130;	163032;	1769770832.000;	    err32
20260130;	163037;	1769770837.000;	    err32
20260130;	163042;	1769770842.000;	    err32
20260130;	163047;	1769770847.000;	    err32
20260130;	163052;	1769770852.000;	    err32
20260130;	163057;	1769770857.000;	    err32
20260130;	163102;	1769770862.000;	    err32
20260130;	163107;	1769770867.000;	    err32
20260130;	163112;	1769770872.000;	    err32
20260130;	163117;	1769770877.000;	    err32
20260130;	163122;	1769770882.000;	    err32
20260130;	163127;	1769770887.000;	    err32
20260130;	163132;	1769770892.000;	    err32
20260130;	163137;	1769770897.000;	    err32
20260130;	163142;	1769770902.000;	    err32
20260130;	163147;	1769770907.000;	    err32
20260130;	163152;	1769770912.000;	    err32
20260130;	163157;	1769770917.000;	    err32
20260130;	163202;	1769770922.000;	    err32
20260130;	163207;	1769770927.000;	    err32
20260130;	163212;	1769770932.000;	    err32
20260130;	163217;	1769770937.000;	    err32
20260130;	163222;	1769770942.000;	    err32
20260130;	163227;	1769770947.000;	    err32
20260130;	163232;	1769770952.000;	    err32
20260130;	163237;	1769770957.000;	    err32
20260130;	163242;	1769770962.000;	    err32
20260130;	163247;	1769770967.000;	    err32
20260130;	163252;	1769770972.000;	    err32
20260130;	163257;	1769770977.000;	    err32
20260130;	163302;	1769770982.000;	    err32
20260130;	163307;	1769770987.000;	    err32
20260130;	163312;	1769770992.000;	    err32
20260130;	163317;	1769770997.000;	    err32
20260130;	163322;	1769771002.000;	    err32
20260130;	163327;	1769771007.000;	    err32
20260130;	163332;	1769771012.000;	    err32
20260130;	163337;	1769771017.000;	    err32
20260130;	163342;	1769771022.000;	    err32
20260130;	163347;	1769771027.000;	    err32
20260130;	163352;	1769771032.000;	    err32
20260130;	163357;	1769771037.000;	    err32
20260130;	163402;	1769771042.000;	    err32
20260130;	163407;	1769771047.000;	    err32
20260130;	163412;	1769771052.000;	    err32
20260130;	163417;	1769771057.000;	    err32
20260130;	163422;	1769771062.000;	    err32
20260130;	163427;	1769771067.000;	    err32
20260130;	163432;	1769771072.000;	    err32
20260130;	163437;	1769771077.000;	    err32
20260130;	163442;	1769771082.000;	    err32
20260130;	163447;	1769771087.000;	    err32
20260130;	163452;	1769771092.000;	    err32
20260130;	163457;	1769771097.000;	    err32
20260130;	163502;	1769771102.000;	    err32
20260130;	163507;	1769771107.000;	    err32
20260130;	163512;	1769771112.000;	    err32
20260130;	163517;	1769771117.000;	    err32
20260130;	163522;	1769771122.000;	    err32
20260130;	163527;	1769771127.000;	    err32
20260130;	163532;	1769771132.000;	    err32
20260130;	163537;	1769771137.000;	    err32
20260130;	163542;	1769771142.000;	    err32
20260130;	163547;	1769771147.000;	    err32
20260130;	163552;	1769771152.000;	    err32
20260130;	163557;	1769771157.000;	    err32
20260130;	163602;	1769771162.000;	    err32
20260130;	163607;	1769771167.000;	    err32
20260130;	163612;	1769771172.000;	    err32
20260130;	163617;	1769771177.000;	    err32
20260130;	163622;	1769771182.000;	    err32
20260130;	163627;	1769771187.000;	    err32
20260130;	163632;	1769771192.000;	    err32
20260130;	163637;	1769771197.000;	    err32
20260130;	163642;	1769771202.000;	    err32
20260130;	163647;	1769771207.000;	    err32
20260130;	163652;	1769771212.000;	    err32
20260130;	163657;	1769771217.000;	    err32
20260130;	163702;	1769771222.000;	    err32
20260130;	163707;	1769771227.000;	    err32
20260130;	163712;	1769771232.000;	    err32
20260130;	163717;	1769771237.000;	    err32
20260130;	163722;	1769771242.000;	    err32
20260130;	163727;	1769771247.000;	    err32
20260130;	163732;	1769771252.000;	    err32
20260130;	163737;	1769771257.000;	    err32
20260130;	163742;	1769771262.000;	    err32
20260130;	163747;	1769771267.000;	    err32
20260130;	163752;	1769771272.000;	    err32
20260130;	163757;	1769771277.000;	    err32
20260130;	163802;	1769771282.000;	    err32
20260130;	163807;	1769771287.000;	    err32
20260130;	163812;	1769771292.000;	    err32
20260130;	163817;	1769771297.000;	    err32
20260130;	163822;	1769771302.000;	    err32
20260130;	163827;	1769771307.000;	    err32
20260130;	163832;	1769771312.000;	    err32
20260130;	163837;	1769771317.000;	    err32
20260130;	163842;	1769771322.000;	    err32
20260130;	163847;	1769771327.000;	    err32
20260130;	163852;	1769771332.000;	    err32
20260130;	163857;	1769771337.000;	    err32
20260130;	163902;	1769771342.000;	    err32
20260130;	163907;	1769771347.000;	    err32
20260130;	163912;	1769771352.000;	    err32
20260130;	163917;	1769771357.000;	    err32
20260130;	163922;	1769771362.000;	    err32
20260130;	163927;	1769771367.000;	    err32
20260130;	163932;	1769771372.000;	    err32
20260130;	163937;	1769771377.000;	    err32
20260130;	163942;	1769771382.000;	    err32
20260130;	163947;	1769771387.000;	    err32
20260130;	163952;	1769771392.000;	    err32
20260130;	163957;	1769771397.000;	    err32
20260130;	164002;	1769771402.000;	    err32
20260130;	164007;	1769771407.000;	    err32
20260130;	164012;	1769771412.000;	    err32
20260130;	164017;	1769771417.000;	    err32
20260130;	164022;	1769771422.000;	    err32
20260130;	164027;	1769771427.000;	    err32
20260130;	164032;	1769771432.000;	    err32
20260130;	164037;	1769771437.000;	    err32
20260130;	164042;	1769771442.000;	    err32
20260130;	164047;	1769771447.000;	    err32
20260130;	164052;	1769771452.000;	    err32
20260130;	164057;	1769771457.000;	    err32
20260130;	164102;	1769771462.000;	    err32
20260130;	164107;	1769771467.000;	    err32
20260130;	164112;	1769771472.000;	    err32
20260130;	164117;	1769771477.000;	    err32
20260130;	164122;	1769771482.000;	    err32
20260130;	164127;	1769771487.000;	    err32
20260130;	164132;	1769771492.000;	    err32
20260130;	164137;	1769771497.000;	    err32
20260130;	164142;	1769771502.000;	    err32
20260130;	164147;	1769771507.000;	    err32
20260130;	164152;	1769771512.000;	    err32
20260130;	164157;	1769771517.000;	    err32
20260130;	164202;	1769771522.000;	    err32
20260130;	164207;	1769771527.000;	    err32
20260130;	164212;	1769771532.000;	    err32
20260130;	164217;	1769771537.000;	    err32
20260130;	164222;	1769771542.000;	    err32
20260130;	164227;	1769771547.000;	    err32
20260130;	164232;	1769771552.000;	    err32
20260130;	164237;	1769771557.000;	    err32
20260130;	164242;	1769771562.000;	    err32
20260130;	164247;	1769771567.000;	    err32
20260130;	164252;	1769771572.000;	    err32
20260130;	164257;	1769771577.000;	    err32
20260130;	164302;	1769771582.000;	    err32
20260130;	164307;	1769771587.000;	    err32
20260130;	164312;	1769771592.000;	    err32
20260130;	164317;	1769771597.000;	    err32
20260130;	164322;	1769771602.000;	    err32
20260130;	164327;	1769771607.000;	    err32
20260130;	164332;	1769771612.000;	    err32
20260130;	164337;	1769771617.000;	    err32
20260130;	164342;	1769771622.000;	    err32
20260130;	164347;	1769771627.000;	    err32
20260130;	164352;	1769771632.000;	    err32
20260130;	164357;	1769771637.000;	    err32
20260130;	164402;	1769771642.000;	    err32
20260130;	164407;	1769771647.000;	    err32
20260130;	164412;	1769771652.000;	    err32
20260130;	164417;	1769771657.000;	    err32
20260130;	164422;	1769771662.000;	    err32
20260130;	164427;	1769771667.000;	    err32
20260130;	164432;	1769771672.000;	    err32
20260130;	164437;	1769771677.000;	    err32
20260130;	164442;	1769771682.000;	    err32
20260130;	164447;	1769771687.000;	    err32
20260130;	164452;	1769771692.000;	    err32
20260130;	164457;	1769771697.000;	    err32
20260130;	164502;	1769771702.000;	    err32
20260130;	164507;	1769771707.000;	    err32
20260130;	164512;	1769771712.000;	    err32
20260130;	164517;	1769771717.000;	    err32
20260130;	164522;	1769771722.000;	    err32
20260130;	164527;	1769771727.000;	    err32
20260130;	164532;	1769771732.000;	    err32
20260130;	164537;	1769771737.000;	    err32
20260130;	164542;	1769771742.000;	    err11
20260130;	164547;	1769771747.000;	    err11
20260130;	164552;	1769771752.000;	    err11
20260130;	164557;	1769771757.000;	    err11
20260130;	164602;	1769771762.000;	    err11
20260130;	164607;	1769771767.000;	    err11
20260130;	164612;	1769771772.000;	    err11
20260130;	164617;	1769771777.000;	    err11
20260130;	164622;	1769771782.000;	    err11
20260130;	164627;	1769771787.000;	    err11
20260130;	164632;	1769771792.000;	    err11
20260130;	164637;	1769771797.000;	    err11
20260130;	164642;	1769771802.000;	    err11
20260130;	164647;	1769771807.000;	    err11
20260130;	164652;	1769771812.000;	    err11
20260130;	164657;	1769771817.000;	    err11
20260130;	164702;	1769771822.000;	    err11
20260130;	164707;	1769771827.000;	    err11
20260130;	164712;	1769771832.000;	    err11
20260130;	164717;	1769771837.000;	    err11
20260130;	164722;	1769771842.000;	    err11
20260130;	164727;	1769771847.000;	    err11
20260130;	164732;	1769771852.000;	    err11
20260130;	164737;	1769771857.000;	    err11
20260130;	164742;	1769771862.000;	    err11
20260130;	164747;	1769771867.000;	    err11
20260130;	164752;	1769771872.000;	    err11
20260130;	164757;	1769771877.000;	    err32
20260130;	164802;	1769771882.000;	    err32
20260130;	164807;	1769771887.000;	    err32
20260130;	164812;	1769771892.000;	    err11
20260130;	164817;	1769771897.000;	    err11
20260130;	164822;	1769771902.000;	    err11
20260130;	164827;	1769771907.000;	    err11
20260130;	164832;	1769771912.000;	    err11
20260130;	164837;	1769771917.000;	    err11
20260130;	164842;	1769771922.000;	    err11
20260130;	164847;	1769771927.000;	    err11
20260130;	164852;	1769771932.000;	    err11
20260130;	164857;	1769771937.000;	    err11
20260130;	164902;	1769771942.000;	    err11
20260130;	164907;	1769771947.000;	    err11
20260130;	164912;	1769771952.000;	    err11
20260130;	164917;	1769771957.000;	    err11
